Part Number,Operation No,Cycle Time (min),Machine Type,Target Per Hour
4338-22T,OP10,4.25,VMC,14
4342-22T,OP10,4.6,VMC,13
4374-22T,OP10,4.6,VMC,13
4844-20T,OP10,10.0,CNC,6
4844-20T,OP20,6.0,VMC,10
4844-22T,OP10,7.5,VMC,8
4844-22T,OP20,6.66,VMC,9
4994-22T,OP10,7.5,VMC,8
5057-15D,OP10,1.85,CNC,32
5057-15D,OP20,0.75,CNC,80
5057-15D,OP30,1.0,CNC,60
5326-17D,OP10,6.0,CNC,10
5326-17D,OP20,2.0,CNC,30
5326-22T,OP10,2.5,CNC,24
5326-22T,OP20,2.5,CNC,24
5326-22T,OP30,5.0,VMC,12
5339-22D,OP10,2.8,VMC,21
5339-22D,OP20,3.33,VMC,18
5340-22D,OP10,2.6,VMC,23
5340-22D,OP20,3.33,VMC,18
AR-7746,OP10,5.45,CNC,11
AR-7746,OP20,2.4,CNC,25
TM1046-RH41,OP10,5.0,CNC,12
TM1046-RH41,OP20,4.0,CNC,15
TM1046-RR41,OP10,11.0,CNC,5
TM1046-RR41,OP20,8.0,CNC,7
209808,OP10&20,11.5,CNC,5
